TIME_SINCE_START	COUNT_RATE	COUNT_RATE_ERR
6645	3.443450980392157E+01	1.859288764481469E+00
6655	3.232627450980392E+01	1.801472847804372E+00
6665	3.403294117647059E+01	1.848415637536323E+00
6675	3.282823529411765E+01	1.815405559971150E+00
6685	3.604078431372549E+01	1.902159844040424E+00
6695	3.192470588235294E+01	1.790248608640201E+00
6705	3.634196078431373E+01	1.910091052216766E+00
6715	3.162352941176471E+01	1.781784028792355E+00
6725	3.162352941176471E+01	1.781784028792355E+00
6735	3.985568627450981E+01	2.000299554652489E+00
6745	2.810980392156863E+01	1.679882092491948E+00
6755	3.333019607843137E+01	1.829232153930149E+00
6765	3.041882352941176E+01	1.747515751959011E+00
6775	3.493647058823530E+01	1.872791402031950E+00
6785	3.322980392156862E+01	1.826475208649814E+00
6795	3.252705882352941E+01	1.807058823529412E+00
6805	3.604078431372549E+01	1.902159844040424E+00
6815	3.312941176470589E+01	1.823714095644607E+00
6825	3.343058823529412E+01	1.831984950301581E+00
6835	3.614117647058823E+01	1.904807249419071E+00
6845	3.222588235294118E+01	1.798673354507938E+00
6855	3.252705882352941E+01	1.807058823529412E+00
6865	3.333019607843137E+01	1.829232153930149E+00
6875	3.252705882352941E+01	1.807058823529412E+00
6885	3.162352941176471E+01	1.781784028792355E+00
6895	3.453490196078431E+01	1.861997125370118E+00
6905	3.483607843137255E+01	1.870098673964891E+00
6915	3.312941176470589E+01	1.823714095644607E+00
6925	3.824941176470588E+01	1.959576726180958E+00
6935	3.694431372549020E+01	1.925855482302833E+00
6945	3.142274509803921E+01	1.776118564437748E+00
6955	3.292862745098039E+01	1.818179290480925E+00
6965	3.393254901960784E+01	1.845687347285357E+00
6975	2.660392156862745E+01	1.634265910824127E+00
6985	3.322980392156862E+01	1.826475208649814E+00
6995	3.493647058823530E+01	1.872791402031950E+00
7005	3.031843137254902E+01	1.744629679383368E+00
7015	3.704470588235294E+01	1.928470358568011E+00
7025	3.222588235294118E+01	1.798673354507938E+00
7035	3.513725490196079E+01	1.878165276498292E+00
7045	3.433411764705883E+01	1.856576452658892E+00
7055	3.202509803921568E+01	1.793061255478388E+00
7065	3.333019607843137E+01	1.829232153930149E+00
7075	3.222588235294118E+01	1.798673354507938E+00
7085	3.262745098039215E+01	1.809845346115257E+00
7095	3.654274509803921E+01	1.915360278923436E+00
7105	3.383215686274510E+01	1.842955018108067E+00
7115	3.252705882352941E+01	1.807058823529412E+00
7125	3.493647058823530E+01	1.872791402031950E+00
7135	3.232627450980392E+01	1.801472847804372E+00
7145	3.694431372549020E+01	1.925855482302833E+00
7155	3.443450980392157E+01	1.859288764481469E+00
7165	3.654274509803921E+01	1.915360278923436E+00
7175	3.473568627450980E+01	1.867402063082745E+00
7185	3.553882352941176E+01	1.888867159564728E+00
7195	3.393254901960784E+01	1.845687347285357E+00
7205	3.333019607843137E+01	1.829232153930149E+00
7215	3.744627450980392E+01	1.938894598608611E+00
7225	3.092078431372549E+01	1.761875202488144E+00
7235	3.754666666666667E+01	1.941491913367965E+00
7245	3.322980392156862E+01	1.826475208649814E+00
7255	3.031843137254902E+01	1.744629679383368E+00
7265	3.393254901960784E+01	1.845687347285357E+00
7275	3.533803921568627E+01	1.883523818846742E+00
7285	3.393254901960784E+01	1.845687347285357E+00
7295	3.453490196078431E+01	1.861997125370118E+00
7305	3.443450980392157E+01	1.859288764481469E+00
7315	3.403294117647059E+01	1.848415637536323E+00
7325	3.533803921568627E+01	1.883523818846742E+00
7335	3.363137254901961E+01	1.837478170877302E+00
7345	3.794823529411764E+01	1.951846610344014E+00
7355	3.714509803921569E+01	1.931081694034456E+00
7365	3.463529411764706E+01	1.864701552540281E+00
7375	3.383215686274510E+01	1.842955018108067E+00
7385	2.871215686274510E+01	1.697785426852419E+00
7395	3.664313725490196E+01	1.917989463797238E+00
7405	3.353098039215686E+01	1.834733616438921E+00
7415	3.152313725490196E+01	1.778953551979354E+00
7425	3.092078431372549E+01	1.761875202488144E+00
7435	3.503686274509804E+01	1.875480264008223E+00
7445	3.704470588235294E+01	1.928470358568011E+00
7455	3.604078431372549E+01	1.902159844040424E+00
7465	3.523764705882353E+01	1.880846455988223E+00
