TIME_SINCE_START	COUNT_RATE	ERR
26325	2.680470588235294E+01	1.640421359773434E+00
26335	2.529882352941176E+01	1.593676083841259E+00
26345	3.162352941176471E+01	1.781784028792355E+00
26355	3.182431372549020E+01	1.787431535913648E+00
26365	2.620235294117647E+01	1.621884930148745E+00
26375	3.041882352941176E+01	1.747515751959011E+00
26385	3.232627450980392E+01	1.801472847804372E+00
26395	3.212549019607843E+01	1.795869497223361E+00
26405	3.142274509803921E+01	1.776118564437748E+00
26415	3.112156862745098E+01	1.767586320229297E+00
26425	3.322980392156862E+01	1.826475208649814E+00
26435	3.132235294117647E+01	1.773279044533278E+00
26445	3.232627450980392E+01	1.801472847804372E+00
26455	3.082039215686275E+01	1.759012690114282E+00
26465	3.152313725490196E+01	1.778953551979354E+00
26475	2.891294117647059E+01	1.703711397494176E+00
26485	3.092078431372549E+01	1.761875202488144E+00
26495	3.122196078431373E+01	1.770434970458192E+00
26505	2.790901960784314E+01	1.673871761622143E+00
26515	3.353098039215686E+01	1.834733616438921E+00
26525	3.232627450980392E+01	1.801472847804372E+00
26535	3.152313725490196E+01	1.778953551979354E+00
26545	3.222588235294118E+01	1.798673354507938E+00
26555	3.252705882352941E+01	1.807058823529412E+00
26565	3.172392156862745E+01	1.784610016339444E+00
26575	3.282823529411765E+01	1.815405559971150E+00
26585	3.202509803921568E+01	1.793061255478388E+00
26595	2.931450980392157E+01	1.715501928471598E+00
26605	3.132235294117647E+01	1.773279044533278E+00
26615	3.594039215686274E+01	1.899508748892813E+00
26625	3.343058823529412E+01	1.831984950301581E+00
26635	3.563921568627451E+01	1.891533169585370E+00
26645	3.463529411764706E+01	1.864701552540281E+00
26655	3.152313725490196E+01	1.778953551979354E+00
26665	2.931450980392157E+01	1.715501928471598E+00
26675	3.584000000000000E+01	1.896853948505468E+00
26685	3.212549019607843E+01	1.795869497223361E+00
26695	3.182431372549020E+01	1.787431535913648E+00
26705	3.072000000000000E+01	1.756145511859290E+00
26715	3.604078431372549E+01	1.902159844040424E+00
26725	2.420454901960784E+02	4.929449139577843E+00
26735	3.764705882352941E+01	1.944085758096272E+00
26745	2.389333333333333E+01	1.548774763473971E+00
26755	2.610196078431373E+01	1.618774889070140E+00
26765	2.298980392156863E+01	1.519209005218792E+00
26775	2.499764705882353E+01	1.584161514722836E+00
26785	2.459607843137255E+01	1.571385810070441E+00
26795	2.459607843137255E+01	1.571385810070441E+00
26805	2.600156862745098E+01	1.615658861370336E+00
26815	2.258823529411765E+01	1.505882352941176E+00
26825	2.580078431372549E+01	1.609408706949662E+00
26835	2.690509803921569E+01	1.643490438901449E+00
26845	2.539921568627451E+01	1.596835008811858E+00
26855	2.539921568627451E+01	1.596835008811858E+00
26865	2.750745098039216E+01	1.661785886845174E+00
26875	2.108235294117647E+01	1.454820567460587E+00
26885	2.529882352941176E+01	1.593676083841259E+00
26895	2.288941176470588E+01	1.515888325826911E+00
26905	2.760784313725490E+01	1.664815581041142E+00
26915	2.499764705882353E+01	1.584161514722836E+00
26925	2.971607843137255E+01	1.727211975186598E+00
26935	2.469647058823529E+01	1.574589454191247E+00
26945	2.750745098039216E+01	1.661785886845174E+00
26955	2.790901960784314E+01	1.673871761622143E+00
26965	2.871215686274510E+01	1.697785426852419E+00
26975	3.011764705882353E+01	1.738843163676991E+00
26985	2.961568627450981E+01	1.724291919040519E+00
26995	3.282823529411765E+01	1.815405559971150E+00
27005	2.690509803921569E+01	1.643490438901449E+00
27015	3.031843137254902E+01	1.744629679383368E+00
27025	2.700549019607843E+01	1.646553797456989E+00
27035	3.102117647058823E+01	1.764733071685968E+00
27045	2.580078431372549E+01	1.609408706949662E+00
27055	2.921411764705882E+01	1.712561905867995E+00
27065	3.072000000000000E+01	1.756145511859290E+00
27075	3.192470588235294E+01	1.790248608640201E+00
27085	2.901333333333333E+01	1.706666666666667E+00
27095	2.971607843137255E+01	1.727211975186598E+00
27105	3.132235294117647E+01	1.773279044533278E+00
27115	3.021803921568628E+01	1.741738824573236E+00
27125	2.821019607843137E+01	1.682879208331566E+00
27135	2.891294117647059E+01	1.703711397494176E+00
27145	2.961568627450981E+01	1.724291919040519E+00
27155	3.122196078431373E+01	1.770434970458192E+00
27165	2.921411764705882E+01	1.712561905867995E+00
27175	3.222588235294118E+01	1.798673354507938E+00
27185	2.790901960784314E+01	1.673871761622143E+00
27195	3.061960784313726E+01	1.753273644832425E+00
27205	3.182431372549020E+01	1.787431535913648E+00
27215	3.242666666666667E+01	1.804267997426088E+00
27225	3.051921568627451E+01	1.750397065955157E+00
27235	3.272784313725490E+01	1.812627585030806E+00
27245	2.790901960784314E+01	1.673871761622143E+00
27255	3.333019607843137E+01	1.829232153930149E+00
27265	3.192470588235294E+01	1.790248608640201E+00
27275	3.292862745098039E+01	1.818179290480925E+00
27285	2.740705882352941E+01	1.658750658947344E+00
27295	3.001725490196078E+01	1.735942672644074E+00
27305	3.102117647058823E+01	1.764733071685968E+00
27315	2.991686274509804E+01	1.733037327222670E+00
27325	3.001725490196078E+01	1.735942672644074E+00
27335	3.112156862745098E+01	1.767586320229297E+00
27345	3.363137254901961E+01	1.837478170877302E+00
27355	3.232627450980392E+01	1.801472847804372E+00
27365	3.082039215686275E+01	1.759012690114282E+00
27375	3.072000000000000E+01	1.756145511859290E+00
27385	2.700549019607843E+01	1.646553797456989E+00
27395	3.202509803921568E+01	1.793061255478388E+00
27405	3.092078431372549E+01	1.761875202488144E+00
27415	3.202509803921568E+01	1.793061255478388E+00
27425	3.051921568627451E+01	1.750397065955157E+00
27435	3.072000000000000E+01	1.756145511859290E+00
27445	3.383215686274510E+01	1.842955018108067E+00
27455	2.931450980392157E+01	1.715501928471598E+00
27465	3.132235294117647E+01	1.773279044533278E+00
27475	3.483607843137255E+01	1.870098673964891E+00
27485	3.031843137254902E+01	1.744629679383368E+00
27495	3.182431372549020E+01	1.787431535913648E+00
27505	3.252705882352941E+01	1.807058823529412E+00
27515	3.122196078431373E+01	1.770434970458192E+00
27525	3.282823529411765E+01	1.815405559971150E+00
27535	3.393254901960784E+01	1.845687347285357E+00
27545	2.981647058823529E+01	1.730127102957336E+00
27555	3.513725490196079E+01	1.878165276498292E+00
